"[[5, 8, 18], [6, 26, 60], [12, 45, 65], [41, 61, 79], [96, 105, 122], [99, 127, 137], [141, 151, 173], [179, 185, 326], [199, 287, 384], [260, 405, 882], [347, 619, 949]]",287,1
"[[0, 5, 18, 27, 86, 143, 173, 307], [10, 35, 46, 87, 180, 226, 274, 355], [17, 51, 126, 127, 215, 325, 419, 441], [45, 67, 134, 408, 414, 426, 486, 522], [69, 108, 236, 409, 443, 472, 491, 597], [79, 110, 288, 620, 632, 644, 880, 883]]",632,1
"[[16, 28, 114, 210, 227, 558], [25, 53, 128, 458, 567, 670], [43, 105, 341, 591, 697, 880]]",17,0
"[[21, 108, 216, 420, 474, 547, 588, 631, 667, 688, 701, 806, 861, 931, 934, 951, 958]]",701,1
"[[18, 158, 188, 487, 552], [99, 179, 209, 697, 708], [143, 190, 357, 709, 745], [345, 471, 758, 848, 850]]",357,1
"[[4], [235], [322], [357], [364], [502]]",357,1
"[[35, 52, 57, 99, 110, 121, 124, 317, 364, 377, 407, 488, 558, 584, 614, 743, 765, 771], [36, 58, 62, 138, 178, 187, 319, 341, 369, 386, 457, 503, 561, 633, 634, 792, 807, 872], [70, 100, 106, 141, 206, 209, 378, 428, 463, 478, 479, 515, 664, 683, 800, 804, 922, 988]]",111,0
"[[13, 79, 128, 390], [93, 130, 305, 465], [219, 456, 560, 628]]",130,1
"[[15, 35, 175, 200, 226, 240, 308, 327, 345, 412, 433, 439, 504, 627, 659, 723, 764, 940, 959]]",412,1
"[[2, 300, 506, 527, 638, 782], [8, 430, 520, 559, 789, 831]]",431,0
"[[9, 35, 201, 536, 861], [59, 295, 517, 686, 924]]",201,1
"[[2, 15, 575, 675, 703, 734, 776, 904], [29, 73, 599, 683, 712, 744, 839, 960]]",745,0
"[[93, 153, 161, 214, 327, 425, 429, 468, 588, 696, 758, 801]]",328,0
"[[0, 58, 81, 185, 274, 300, 493, 563, 674, 714, 748, 750, 760], [4, 97, 265, 330, 464, 528, 611, 689, 727, 735, 768, 792, 937], [14, 159, 399, 471, 485, 541, 620, 730, 732, 775, 781, 839, 959]]",761,0
"[[10, 51, 184, 289, 520, 624], [18, 139, 416, 610, 623, 658], [67, 214, 557, 620, 889, 968]]",558,0
"[[2], [96], [156], [207], [219], [317], [346], [360], [444], [678], [734], [809], [927]]",361,0
"[[10, 33, 99, 166, 363], [22, 122, 180, 242, 547], [109, 160, 191, 552, 618]]",552,1
"[[23], [104], [115], [167], [175], [192], [247], [253], [267], [282], [401], [414], [449], [489], [500], [541], [556], [560], [592]]",168,0
"[[4], [32], [52], [63], [120], [130], [140], [143], [174], [176], [192], [222], [225], [239], [252], [253], [258], [289]]",131,0
"[[1, 26, 58, 266], [18, 61, 75, 272], [30, 70, 197, 307], [50, 158, 262, 374], [67, 210, 473, 628], [78, 464, 569, 914]]",50,1
"[[1, 72, 159, 276, 310, 357, 442, 479, 655, 673, 810, 835, 845, 916, 952], [4, 83, 263, 321, 369, 408, 477, 488, 732, 859, 911, 933, 937, 959, 978]]",311,0
"[[18, 52, 69], [20, 96, 155], [132, 151, 166], [183, 191, 193], [186, 218, 225], [200, 229, 277], [206, 231, 282], [246, 274, 403], [275, 335, 406], [309, 362, 474], [347, 471, 516], [453, 512, 520], [466, 549, 653], [526, 564, 713]]",527,0
"[[1, 63, 321, 358, 363, 455, 499, 674], [5, 247, 324, 392, 435, 472, 580, 710], [9, 406, 563, 564, 643, 688, 857, 871]]",565,0
"[[12, 54, 338, 375], [42, 77, 386, 387], [78, 81, 415, 417], [80, 83, 437, 501], [86, 131, 482, 529], [111, 300, 600, 970], [163, 427, 626, 971]]",501,1
"[[74, 96, 196, 317, 489, 509, 555, 723], [234, 261, 361, 368, 541, 676, 728, 988]]",234,1
"[[133, 182], [150, 269], [209, 296], [235, 961]]",134,0
"[[58, 60, 135, 193, 201, 222, 406, 422, 427, 490, 496, 542, 562, 634, 692, 721, 744, 805, 852, 973]]",136,0
"[[179, 232, 242, 383, 439], [228, 235, 250, 506, 614], [230, 238, 403, 598, 716], [240, 267, 500, 674, 756], [245, 281, 502, 695, 834], [249, 478, 662, 803, 844], [351, 557, 758, 843, 854]]",243,0
"[[1, 63, 101, 149, 269, 436, 528, 568, 647, 706, 723], [3, 76, 164, 240, 361, 496, 578, 581, 678, 769, 849], [6, 123, 178, 379, 429, 535, 597, 609, 719, 789, 973]]",101,1
"[[1, 133, 268, 340, 371, 377, 418, 435, 487, 523, 530, 535, 550, 656, 714, 778, 833, 857, 866, 906], [9, 182, 350, 376, 383, 392, 419, 440, 502, 529, 537, 573, 576, 716, 769, 785, 876, 886, 903, 935]]",529,1
"[[14, 364, 370, 385, 668]]",386,0
"[[3, 5, 63, 164, 179, 214], [14, 19, 78, 182, 183, 277], [15, 27, 113, 212, 218, 332], [21, 29, 147, 223, 311, 452], [33, 50, 278, 281, 385, 710], [41, 62, 360, 442, 501, 714], [57, 121, 453, 562, 601, 825]]",58,0
"[[2, 28, 35, 122, 155], [113, 120, 241, 286, 471], [137, 166, 305, 318, 510], [138, 204, 331, 412, 579], [162, 263, 363, 424, 689]]",471,1
"[[0], [2], [34], [35], [66], [88], [90], [120], [142], [176], [198]]",120,1
"[[212, 576], [359, 990]]",360,0
"[[231, 419, 465, 523, 555, 628, 675], [517, 540, 548, 554, 574, 665, 748], [531, 556, 692, 721, 810, 852, 869]]",518,0
"[[14, 19, 31, 91], [20, 34, 38, 160], [24, 53, 193, 206], [57, 141, 255, 332]]",54,0
"[[197, 647, 691], [544, 988, 997]]",197,1
"[[19, 26], [24, 40], [115, 183], [126, 279], [133, 283], [185, 562], [246, 603], [282, 695], [316, 820]]",603,1
"[[199, 248, 277, 369, 494], [256, 447, 511, 632, 883]]",249,0
"[[15, 366], [189, 612]]",612,1
"[[0, 2, 17, 27, 67, 77, 167, 230, 297, 368, 384, 385, 413, 420, 754, 785, 859, 878, 910], [5, 6, 114, 119, 143, 216, 218, 253, 308, 386, 390, 414, 698, 727, 787, 824, 907, 918, 922], [8, 45, 116, 144, 182, 228, 240, 353, 365, 401, 402, 431, 725, 778, 804, 856, 939, 960, 968]]",391,0
"[[82, 128, 240, 525, 971]]",525,1
"[[4, 11, 25, 29, 31, 154, 184, 312, 359, 375, 460, 471, 501, 506, 627, 648, 651, 733, 883, 975], [7, 20, 55, 73, 78, 185, 311, 363, 390, 393, 476, 493, 511, 581, 649, 666, 884, 903, 944, 987]]",376,0
"[[69, 257, 406, 452, 454, 659, 717, 727, 741, 763, 773, 786, 868, 879, 915, 929, 959], [189, 294, 457, 512, 683, 718, 730, 740, 750, 770, 806, 845, 876, 883, 944, 954, 974]]",660,0
"[[38, 53, 164, 511]]",165,0
"[[66], [414]]",67,0
"[[301, 426, 565, 597, 613, 631, 637, 751, 785, 799, 873, 875]]",800,0
"[[44, 60], [98, 99], [103, 150], [128, 188], [181, 285], [273, 287], [288, 292], [294, 295], [296, 298], [338, 497]]",60,1
"[[112], [226], [386], [478], [555]]",386,1
"[[0, 45, 241, 508, 669, 697, 721, 816], [18, 291, 347, 649, 715, 723, 774, 982]]",241,1
"[[392, 666, 678, 787, 965]]",679,0
"[[107, 122, 210, 264, 462, 483], [116, 260, 313, 404, 497, 523], [132, 394, 422, 475, 699, 721], [162, 396, 495, 564, 799, 838], [201, 499, 652, 705, 833, 839], [364, 517, 708, 840, 850, 870]]",499,1
"[[5, 29, 113, 170, 299, 352, 451, 529, 538, 759, 841, 884], [24, 81, 135, 200, 349, 391, 503, 592, 707, 846, 921, 934], [91, 162, 250, 276, 357, 479, 583, 657, 840, 894, 951, 988]]",391,1
"[[3], [15], [140], [224], [670], [676], [736], [822]]",225,0
"[[140], [202], [356], [372], [420], [525], [553], [580], [801], [862]]",554,0
"[[69, 123], [71, 276], [362, 387], [740, 756]]",740,1
"[[6, 65, 243, 453, 621, 660, 681, 803, 808, 838, 901], [192, 206, 340, 519, 668, 678, 692, 813, 832, 862, 923]]",838,1
"[[71, 186, 301, 303, 387, 396], [139, 242, 326, 344, 398, 548], [184, 262, 331, 410, 489, 629], [190, 291, 336, 452, 494, 763], [208, 323, 413, 527, 566, 797], [319, 358, 543, 662, 910, 928]]",324,0
"[[15, 30, 127, 147, 209, 220, 274, 374, 676], [24, 40, 142, 182, 332, 404, 495, 499, 746], [46, 49, 185, 235, 441, 484, 532, 627, 841], [53, 65, 252, 313, 496, 585, 706, 854, 935]]",676,1
"[[9, 19, 20, 69, 86, 92, 102, 146, 198, 572, 575, 682, 800, 812, 825], [13, 24, 41, 73, 100, 122, 263, 347, 480, 596, 601, 717, 816, 829, 838], [27, 52, 60, 125, 197, 201, 341, 461, 528, 630, 708, 729, 824, 847, 875], [43, 62, 85, 175, 235, 271, 414, 505, 651, 704, 759, 764, 844, 859, 902]]",122,1
"[[141, 359, 419, 506], [427, 492, 542, 575]]",360,0
"[[248, 413, 457, 466, 561], [440, 450, 469, 552, 725]]",561,1
"[[29], [82], [112], [148], [230], [304], [345], [472], [544], [550], [552], [568], [851], [863], [914]]",863,1
"[[99, 291], [186, 399], [213, 425], [665, 742]]",99,1
"[[65, 114, 194, 358], [94, 162, 212, 446], [266, 541, 596, 874], [384, 575, 898, 944]]",385,0
"[[92, 106, 140, 143, 211, 229, 245, 278, 304, 371, 512, 609, 709, 788, 792, 847]]",211,1
"[[3], [10], [18], [29], [83], [88], [231], [242], [285], [387], [403], [475]]",88,1
"[[20, 706, 824, 841], [85, 816, 825, 894]]",86,0
"[[6], [113], [117], [123], [251], [253], [261], [325], [346], [353], [436]]",347,0
"[[170, 259, 314, 816]]",314,1
"[[62, 129, 221, 227, 296, 305, 310, 311, 411, 538, 555, 598, 756, 764, 814, 828, 884, 908, 987]]",814,1
"[[17, 25, 121, 129], [52, 58, 122, 192], [67, 84, 126, 215], [68, 93, 205, 271], [78, 96, 234, 342], [185, 203, 329, 488], [190, 230, 355, 491], [200, 332, 414, 524], [201, 393, 440, 710], [284, 454, 630, 746]]",356,0
"[[33, 119, 240, 253, 279, 309, 380, 492, 699], [52, 128, 271, 274, 326, 372, 408, 517, 913]]",53,0
"[[12], [16], [37], [44], [59], [63], [83], [88], [95], [108], [112]]",44,1
"[[30, 96, 213, 223, 564, 602, 607, 676, 824, 966], [97, 133, 237, 330, 592, 609, 632, 774, 905, 972]]",213,1
"[[3, 26, 144, 186, 190, 352, 479, 581, 591], [41, 50, 166, 189, 235, 482, 514, 589, 592]]",353,0
[[763]],764,0
"[[155, 259, 277], [242, 292, 377], [300, 433, 581], [503, 592, 599]]",599,1
"[[263, 360, 672, 708, 947, 997]]",361,0
"[[62, 349, 404, 423, 470, 545, 608, 665, 692, 762, 825, 828, 914, 958, 976]]",546,0
"[[10, 49, 73, 90, 105, 116, 343, 385], [47, 59, 77, 107, 121, 140, 426, 516], [58, 74, 115, 144, 271, 376, 512, 578], [65, 113, 132, 169, 367, 458, 589, 765], [83, 139, 196, 210, 421, 499, 616, 790], [84, 194, 234, 268, 560, 809, 901, 967], [108, 288, 359, 402, 577, 846, 962, 986]]",106,0
"[[39, 61], [137, 142], [156, 161], [159, 188], [164, 265], [234, 273], [277, 324], [285, 366], [299, 375], [305, 380], [377, 409], [433, 437], [452, 490], [469, 515], [480, 531], [513, 644], [606, 951]]",645,0
"[[97, 399, 475], [286, 493, 569], [423, 540, 688], [559, 709, 755], [599, 738, 797]]",541,0
"[[11, 42, 58, 169, 285, 346, 578, 629, 630, 774, 797, 815, 853, 890], [51, 90, 154, 254, 293, 449, 597, 651, 659, 777, 841, 846, 856, 934]]",347,0
"[[8, 306, 429, 594], [51, 531, 610, 710]]",8,1
"[[29], [49], [88], [92], [106], [139], [173], [180], [213], [216], [245], [251], [258], [370], [376], [389], [439], [452], [457], [527]]",139,1
"[[66], [157], [466]]",67,0
"[[24, 31, 55], [33, 50, 65], [40, 57, 76], [67, 72, 82], [78, 94, 150], [83, 119, 201], [89, 199, 537], [91, 514, 580], [105, 559, 936]]",581,0
